movieId,NumRatingsItem,PopularityGroup
1,8987,high
2,6247,high
6,5644,medium
10,6026,high
11,4209,medium
16,5165,medium
17,3516,low
19,5166,medium
21,5548,medium
25,4631,medium
32,8293,high
34,6687,high
36,4107,low
39,6230,high
47,8435,high
50,8589,high
62,3642,low
70,5120,medium
95,4866,medium
104,5172,medium
110,8752,high
111,6299,high
141,4738,medium
145,3729,low
150,7817,high
153,6519,high
160,3523,low
161,4172,medium
163,4203,medium
165,6583,high
172,3516,low
173,4122,medium
180,3477,low
185,4889,medium
196,3873,low
208,6096,high
223,6312,high
231,6822,high
235,4678,medium
253,6025,high
260,9587,high
266,3426,low
288,5454,medium
292,5216,medium
293,6559,high
296,9746,high
300,4277,medium
316,6035,high
317,3761,low
318,9183,high
329,4480,medium
337,4796,medium
339,4077,low
344,7173,high
349,4970,medium
350,3296,low
353,5135,medium
356,9922,high
357,6052,high
364,7704,high
367,7843,high
368,4844,medium
370,3872,low
377,8671,high
380,7774,high
410,3889,low
420,3322,low
434,4881,medium
435,3530,low
440,4574,medium
441,3313,low
442,5029,medium
454,5059,medium
457,8374,high
466,4085,low
471,3633,low
474,4600,medium
480,9785,high
485,4403,medium
500,7509,high
508,4992,medium
509,3770,low
520,4433,medium
527,8044,high
539,6401,high
541,7909,high
543,3724,low
551,5814,high
552,3481,low
553,3676,low
555,4494,medium
586,7426,high
587,6746,high
588,7311,high
589,9143,high
590,7284,high
592,8446,high
593,9669,high
594,4991,medium
595,6461,high
596,3768,low
597,7410,high
608,8662,high
648,8134,high
653,3749,low
673,3419,low
708,3691,low
733,7261,high
736,7052,high
745,3282,low
750,6370,high
778,6524,high
780,9035,high
784,4725,medium
785,3375,low
786,4112,low
788,5579,medium
802,3470,low
832,4559,medium
858,8125,high
899,3492,low
902,3411,low
903,4806,medium
904,5388,medium
908,4796,medium
910,3771,low
912,6229,high
913,3754,low
919,7320,high
920,4584,medium
923,5631,medium
924,7322,high
953,5042,medium
969,3338,low
1022,3388,low
1027,3637,low
1028,5124,medium
1029,3643,low
1035,4862,medium
1036,8600,high
1059,3902,low
1060,3770,low
1073,6939,high
1079,6710,high
1080,6368,high
1088,4613,medium
1089,7668,high
1090,5938,high
1092,4689,medium
1094,4252,medium
1097,8922,high
1101,7163,high
1120,3661,low
1127,6061,high
1129,3775,low
1136,8272,high
1148,4012,low
1183,4646,medium
1193,7289,high
1196,9512,high
1197,7582,high
1198,9477,high
1199,4811,medium
1200,7760,high
1201,4870,medium
1203,3905,low
1204,3911,low
1206,7305,high
1207,4591,medium
1208,6941,high
1210,9259,high
1213,7095,high
1214,8363,high
1215,4402,medium
1219,6443,high
1220,6660,high
1221,6684,high
1222,7006,high
1225,6099,high
1228,3791,low
1230,4514,medium
1233,3832,low
1234,4649,medium
1240,8976,high
1242,4150,medium
1246,6917,high
1247,5578,medium
1249,3510,low
1250,4038,low
1252,4884,medium
1258,7546,high
1259,6742,high
1262,3791,low
1263,4139,medium
1265,9052,high
1266,5450,medium
1270,9768,high
1271,3340,low
1275,4549,medium
1276,3727,low
1278,5120,medium
1282,4610,medium
1285,4042,low
1287,3413,low
1288,5421,medium
1291,8661,high
1293,3561,low
1302,4844,medium
1304,4764,medium
1307,6632,high
1320,5088,medium
1333,4581,medium
1339,4483,medium
1343,3952,low
1345,3847,low
1347,3308,low
1356,4931,medium
1358,4401,medium
1370,6322,high
1371,3733,low
1372,3557,low
1374,5106,medium
1375,3827,low
1376,4197,medium
1377,6100,high
1380,5858,high
1387,7682,high
1391,6612,high
1393,7061,high
1394,5695,high
1396,4532,medium
1407,6028,high
1408,4628,medium
1466,4309,medium
1479,3337,low
1485,6140,high
1500,5374,medium
1517,7588,high
1527,8171,high
1544,5991,high
1552,6104,high
1562,4643,medium
1569,3991,low
1573,7093,high
1580,9599,high
1584,6827,high
1587,3446,low
1597,4280,medium
1608,5821,high
1610,6736,high
1617,7425,high
1625,5697,high
1639,5128,medium
1641,5790,high
1644,3459,low
1645,5215,medium
1653,6478,high
1663,3531,low
1673,5481,medium
1674,4442,medium
1676,6178,high
1682,8300,high
1690,4516,medium
1704,8049,high
1717,3294,low
1721,8367,high
1722,4783,medium
1729,5065,medium
1732,7072,high
1747,4447,medium
1748,4761,medium
1777,5388,medium
1784,7064,high
1805,3510,low
1831,3545,low
1876,4699,medium
1882,3596,low
1884,3667,low
1909,4345,medium
1912,3506,low
1917,7054,high
1918,3862,low
1921,3959,low
1923,7971,high
1947,3416,low
1953,3454,low
1954,6271,high
1961,7699,high
1962,3607,low
1967,3680,low
1968,7092,high
1994,4276,medium
1997,5570,medium
2000,6929,high
2001,5409,medium
2002,4187,medium
2003,5552,medium
2005,4777,medium
2006,4956,medium
2011,7481,high
2012,7056,high
2018,3480,low
2019,3708,low
2021,3868,low
2023,4070,low
2028,8631,high
2054,6412,high
2058,3917,low
2076,3774,low
2078,3790,low
2080,4049,low
2081,5346,medium
2085,3388,low
2100,4866,medium
2105,4310,medium
2109,3294,low
2115,8026,high
2124,4226,medium
2144,3758,low
2150,3589,low
2160,3426,low
2161,4613,medium
2167,5082,medium
2174,7573,high
2193,4277,medium
2194,6052,high
2248,3507,low
2268,5809,high
2273,4588,medium
2278,4254,medium
2288,3601,low
2291,7662,high
2294,4604,medium
2302,5131,medium
2321,5554,medium
2324,5019,medium
2329,6153,high
2336,3303,low
2353,5414,medium
2355,6420,high
2378,3359,low
2395,4903,medium
2396,6642,high
2406,5245,medium
2407,4438,medium
2420,4515,medium
2424,4826,medium
2427,3459,low
2455,4596,medium
2470,5694,medium
2478,3286,low
2490,3443,low
2502,6382,high
2529,5188,medium
2539,4294,medium
2541,3458,low
2542,5401,medium
2571,9960,high
2572,3835,low
2580,3469,low
2599,4607,medium
2616,3325,low
2617,6562,high
2628,8481,high
2640,6095,high
2641,3886,low
2657,5104,medium
2671,4911,medium
2683,7531,high
2692,5410,medium
2694,3528,low
2699,4821,medium
2700,6015,high
2701,4701,medium
2706,7031,high
2710,6217,high
2712,5315,medium
2716,8913,high
2717,4497,medium
2723,3353,low
2746,3939,low
2761,3281,low
2762,9251,high
2763,4274,medium
2770,3490,low
2791,6767,high
2797,7302,high
2804,4511,medium
2858,9175,high
2871,3730,low
2890,5361,medium
2915,3725,low
2916,7502,high
2918,7602,high
2947,4833,medium
2948,3288,low
2949,3442,low
2953,3743,low
2959,8376,high
2968,3643,low
2985,6289,high
2987,7691,high
2997,7670,high
3006,3759,low
3020,3408,low
3033,5538,medium
3039,4344,medium
3052,6192,high
3081,5730,high
3082,3934,low
3101,3581,low
3107,3616,low
3108,3733,low
3114,6600,high
3147,6605,high
3160,4782,medium
3174,3430,low
3175,5360,medium
3176,5174,medium
3210,3719,low
3247,3726,low
3252,3698,low
3253,6150,high
3255,4604,medium
3256,3943,low
3300,3497,low
3363,3354,low
3386,3740,low
3408,5792,high
3418,5191,medium
3421,4681,medium
3448,5531,medium
3471,5811,high
3481,6173,high
3489,4499,medium
3499,4366,medium
3527,6020,high
3535,4225,medium
3552,4129,medium
3578,8529,high
3623,5892,high
3624,3461,low
3671,4624,medium
3698,3495,low
3702,4309,medium
3703,3985,low
3717,4185,medium
3751,5845,high
3752,3754,low
3753,4927,medium
3755,4280,medium
3785,4187,medium
3793,7859,high
3826,3557,low
3863,3632,low
3868,3801,low
3897,6038,high
3911,4063,low
3948,6280,high
3949,4718,medium
3977,5821,high
3994,6070,high
3996,7496,high
4002,3483,low
4011,5734,high
4014,4128,medium
4018,4102,low
4022,6665,high
4025,4243,medium
4027,6790,high
4034,5851,high
4085,4971,medium
4148,3698,low
4223,3374,low
4226,7589,high
4239,3468,low
4246,4957,medium
4262,4351,medium
4270,3870,low
4306,8086,high
4308,5014,medium
4310,3834,low
4321,3627,low
4344,3267,low
4361,3728,low
4367,3727,low
4369,3461,low
4370,5218,medium
4447,4255,medium
4571,4297,medium
4638,3454,low
4643,4468,medium
4718,3809,low
4720,4590,medium
4734,3283,low
4776,4101,low
4816,4013,low
4848,4222,medium
4874,3398,low
4878,5681,medium
4886,6627,high
4896,6275,high
4963,7255,high
4973,5893,high
4975,4109,low
4979,5385,medium
4993,8370,high
4995,6594,high
5010,4463,medium
5060,4235,medium
5218,4784,medium
5266,3898,low
5299,4440,medium
5349,7597,high
5377,3921,low
5378,6281,high
5388,3583,low
5418,6517,high
5445,7234,high
5459,4886,medium
5464,4137,medium
5481,4290,medium
5502,5216,medium
5618,3875,low
5669,4969,medium
5679,4438,medium
5816,5410,medium
5902,4213,medium
5952,7640,high
5956,3996,low
5989,6218,high
5991,3795,low
5995,3710,low
6016,3408,low
6218,3364,low
6333,5673,medium
6365,6147,high
6373,4493,medium
6377,6536,high
6378,4251,medium
6502,4692,medium
6537,4201,medium
6539,7063,high
6711,5745,high
6807,3792,low
6863,4428,medium
6870,3994,low
6874,6459,high
6934,4956,medium
6942,3558,low
6947,3579,low
7143,4203,medium
7147,4925,medium
7153,7070,high
7254,3679,low
7361,5886,high
7373,3335,low
7438,5808,high
7458,3291,low
8360,5153,medium
8361,3315,low
8368,4711,medium
8376,3452,low
8464,3778,low
8622,3889,low
8636,5656,medium
8644,4280,medium
8665,4956,medium
8784,3688,low
8798,3888,low
8874,4399,medium
8949,3706,low
8961,5743,high
30707,3826,low
30793,3597,low
32587,5085,medium
33166,3772,low
33493,4812,medium
33679,3399,low
33794,5576,medium
34048,3572,low
34162,3370,low
35836,3823,low
40815,3654,low
44191,4512,medium
45722,3748,low
46578,3875,low
48385,3313,low
48394,3595,low
48516,4116,low
48774,3523,low
48780,3675,low
49272,4178,medium
51662,3469,low
54286,3372,low
55820,3505,low
56367,3427,low
58559,4149,medium
59315,3632,low
60069,3436,low
